name,op_name,provider,node_index,dur,activation_size,output_size,input_type_shape,output_type_shape
bert/encoder/layer_0/attention/self/Reshape_2_kernel_time,Reshape,CPUExecutionProvider,96,1,786464,786432,"[{""float"": [256, 768]}, {""int64"": [4]}]","[{""float"": [1, 256, 12, 64]}]"
bert/encoder/layer_0/attention/self/transpose_2_kernel_time,Transpose,CPUExecutionProvider,97,43,786432,786432,"[{""float"": [1, 256, 12, 64]}]","[{""float"": [1, 12, 256, 64]}]"
bert/encoder/layer_0/attention/self/transpose_2:0_QuantizeLinear_kernel_time,DynamicQuantizeLinear,CPUExecutionProvider,99,44,786432,196613,"[{""float"": [1, 12, 256, 64]}]","[{""uint8"": [1, 12, 256, 64]}, {""float"": []}, {""uint8"": []}]"
bert/encoder/Shape_kernel_time,Shape,CPUExecutionProvider,70,0,2048,16,"[{""int64"": [1, 256]}]","[{""int64"": [2]}]"
bert/encoder/Shape__12_kernel_time,Cast,CPUExecutionProvider,71,0,16,8,"[{""int64"": [2]}]","[{""float"": [2]}]"
bert/encoder/strided_slice_kernel_time,Slice,CPUExecutionProvider,72,1,8,4,"[{""float"": [2]}, {""int64"": [1]}, {""int64"": [1]}, {""int64"": [1]}]","[{""float"": [1]}]"
bert/encoder/strided_slice__16_kernel_time,Squeeze,CPUExecutionProvider,73,0,4,4,"[{""float"": [1]}]","[{""float"": []}]"
bert/encoder/strided_slice__17_kernel_time,Cast,CPUExecutionProvider,74,0,4,4,"[{""float"": []}]","[{""int32"": []}]"
bert/encoder/Reshape/shape_Unsqueeze__23_kernel_time,Unsqueeze,CPUExecutionProvider,75,0,4,4,"[{""int32"": []}]","[{""int32"": [1]}]"
bert/encoder/ones/packed_Concat__21_kernel_time,Concat,CPUExecutionProvider,80,1,4,12,"[{""int32"": [1]}, {""int32"": [1]}, {""int32"": [1]}]","[{""int32"": [3]}]"
bert/encoder/ones__22_kernel_time,Cast,CPUExecutionProvider,81,0,12,24,"[{""int32"": [3]}]","[{""int64"": [3]}]"
bert/encoder/ones_kernel_time,ConstantOfShape,CPUExecutionProvider,82,1,24,1024,"[{""int64"": [3]}]","[{""float"": [1, 256, 1]}]"
bert/encoder/Reshape/shape_Concat__26_kernel_time,Concat,CPUExecutionProvider,76,1,4,12,"[{""int32"": [1]}, {""int32"": [1]}, {""int32"": [1]}]","[{""int32"": [3]}]"
bert/encoder/Reshape__27_kernel_time,Cast,CPUExecutionProvider,77,0,12,24,"[{""int32"": [3]}]","[{""int64"": [3]}]"
bert/encoder/Reshape_kernel_time,Reshape,CPUExecutionProvider,78,0,2072,2048,"[{""int64"": [1, 256]}, {""int64"": [3]}]","[{""int64"": [1, 1, 256]}]"
bert/encoder/Cast_kernel_time,Cast,CPUExecutionProvider,79,0,2048,1024,"[{""int64"": [1, 1, 256]}]","[{""float"": [1, 1, 256]}]"
bert/encoder/mul_kernel_time,Mul,CPUExecutionProvider,83,7,2048,262144,"[{""float"": [1, 256, 1]}, {""float"": [1, 1, 256]}]","[{""float"": [1, 256, 256]}]"
bert/encoder/layer_0/attention/self/ExpandDims_kernel_time,Reshape,CPUExecutionProvider,84,1,262144,262144,"[{""float"": [1, 256, 256]}, {""int64"": [4]}]","[{""float"": [1, 1, 256, 256]}]"
bert/encoder/layer_0/attention/self/sub_kernel_time,Sub,CPUExecutionProvider,85,5,262144,262144,"[{""float"": []}, {""float"": [1, 1, 256, 256]}]","[{""float"": [1, 1, 256, 256]}]"
bert/encoder/layer_0/attention/self/mul_1_kernel_time,Mul,CPUExecutionProvider,86,5,262144,262144,"[{""float"": [1, 1, 256, 256]}, {""float"": []}]","[{""float"": [1, 1, 256, 256]}]"
gemm_token_0_MatMul_quant_kernel_time,MatMulIntegerToFloat,CPUExecutionProvider,1265,629,196613,786432,"[{""uint8"": [256, 768]}, {""float"": []}, {""float"": [768]}, {""uint8"": []}, {""int8"": [768]}, {""float"": [768]}]","[{""float"": [256, 768]}]"
bert/encoder/layer_0/attention/self/Reshape_kernel_time,Reshape,CPUExecutionProvider,67,0,786464,786432,"[{""float"": [256, 768]}, {""int64"": [4]}]","[{""float"": [1, 256, 12, 64]}]"
bert/encoder/layer_0/attention/self/transpose_kernel_time,Transpose,CPUExecutionProvider,68,24,786432,786432,"[{""float"": [1, 256, 12, 64]}]","[{""float"": [1, 12, 256, 64]}]"
gemm_MatMul_quant_kernel_time,MatMulIntegerToFloat,CPUExecutionProvider,1266,619,196613,786432,"[{""uint8"": [256, 768]}, {""float"": []}, {""float"": [768]}, {""uint8"": []}, {""int8"": [768]}, {""float"": [768]}]","[{""float"": [256, 768]}]"
bert/encoder/layer_0/attention/self/Reshape_1_kernel_time,Reshape,CPUExecutionProvider,58,0,786464,786432,"[{""float"": [256, 768]}, {""int64"": [4]}]","[{""float"": [1, 256, 12, 64]}]"
bert/encoder/layer_0/attention/self/transpose_1_kernel_time,Transpose,CPUExecutionProvider,59,65,786432,786432,"[{""float"": [1, 256, 12, 64]}]","[{""float"": [1, 12, 256, 64]}]"
MatMul_With_Transpose_FusedMatMulAndScale_kernel_time,FusedMatMul,CPUExecutionProvider,69,261,1572864,3145728,"[{""float"": [1, 12, 256, 64]}, {""float"": [1, 12, 256, 64]}]","[{""float"": [1, 12, 256, 256]}]"
bert/encoder/layer_0/attention/self/add_kernel_time,Add,CPUExecutionProvider,87,169,3407872,3145728,"[{""float"": [1, 12, 256, 256]}, {""float"": [1, 1, 256, 256]}]","[{""float"": [1, 12, 256, 256]}]"
bert/encoder/layer_0/attention/self/Softmax_kernel_time,Softmax,CPUExecutionProvider,88,262,3145728,3145728,"[{""float"": [1, 12, 256, 256]}]","[{""float"": [1, 12, 256, 256]}]"
bert/encoder/layer_0/attention/self/MatMul_1_quant_kernel_time,DynamicQuantizeMatMul,CPUExecutionProvider,1348,395,3342341,786432,"[{""float"": [1, 12, 256, 256]}, {""uint8"": [1, 12, 256, 64]}, {""float"": []}, {""uint8"": []}]","[{""float"": [1, 12, 256, 64]}]"
bert/encoder/layer_0/attention/self/transpose_3_kernel_time,Transpose,CPUExecutionProvider,104,21,786432,786432,"[{""float"": [1, 12, 256, 64]}]","[{""float"": [1, 256, 12, 64]}]"
bert/encoder/layer_0/attention/self/Reshape_3_kernel_time,Reshape,CPUExecutionProvider,109,1,786448,786432,"[{""float"": [1, 256, 12, 64]}, {""int64"": [2]}]","[{""float"": [256, 768]}]"
bert/encoder/layer_0/attention/output/dense/MatMul_quant_kernel_time,DynamicQuantizeMatMul,CPUExecutionProvider,1349,245,786432,786432,"[{""float"": [256, 768]}, {""float"": [768]}, {""int8"": [768]}, {""float"": [768]}]","[{""float"": [256, 768]}]"
bert/encoder/layer_0/attention/output/add_kernel_time,Add,CPUExecutionProvider,116,21,1572864,786432,"[{""float"": [256, 768]}, {""float"": [256, 768]}]","[{""float"": [256, 768]}]"
bert/encoder/layer_0/attention/output/LayerNorm/moments/mean_kernel_time,ReduceMean,CPUExecutionProvider,117,9,786432,1024,"[{""float"": [256, 768]}]","[{""float"": [256, 1]}]"
bert/encoder/layer_0/attention/output/LayerNorm/moments/SquaredDifference_kernel_time,Sub,CPUExecutionProvider,118,16,787456,786432,"[{""float"": [256, 768]}, {""float"": [256, 1]}]","[{""float"": [256, 768]}]"
